
		Printed:
	    28/08/2021

		Title:
		History Search - CMS

Date;From 01 Apr 18 To 19 Jun 21
Fleet;VJC_all
A/C Type;A320
A/C ID;VN-A690
Message Type;ALL
Ata - subAta;ALL - ALL
Correlated;ALL
Text;ALL


Fault Tracking;Leg;A/C ID;Flight Number;Flight phase;Date Time;Transmission Date;ATA;Source;Title;Priority;Correlated;Report;Work;Note
;-6901;VN-A690;VJ125;02-ENG START;06 Apr 18 - 23:30;06 Apr 18 - 23:32;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6895;VN-A690;VJ246;06-CRUISE;07 Apr 18 - 13:05;07 Apr 18 - 13:06;344333;CFDS;NO TCAS DATA;;No;CFR;;
;-6890;VN-A690;VJ244;06-CRUISE;08 Apr 18 - 04:30;08 Apr 18 - 04:31;344334;ATC 1;ATC 1:NO DATA FROM TCAS;;No;CFR;;
;-6890;VN-A690;VJ244;06-CRUISE;08 Apr 18 - 05:01;08 Apr 18 - 05:02;344334;ATC 2;ATC 2:NO DATA FROM TCAS;;No;CFR;;
;-6882;VN-A690;VJ206;02-ENG START;09 Apr 18 - 00:04;09 Apr 18 - 00:05;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6876;VN-A690;VJ240;02-ENG START;09 Apr 18 - 09:12;09 Apr 18 - 09:12;3200;;BRAKES HOT;;No;CFR;;
;-6872;VN-A690;VJ529;02-ENG START;09 Apr 18 - 16:48;09 Apr 18 - 16:49;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6870;VN-A690;VJ567;02-ENG START;09 Apr 18 - 23:17;09 Apr 18 - 23:18;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6867;VN-A690;VJ569;02-ENG START;10 Apr 18 - 06:16;10 Apr 18 - 06:18;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6864;VN-A690;VJ407;02-ENG START;10 Apr 18 - 10:03;10 Apr 18 - 10:04;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6859;VN-A690;VJ449;02-ENG START;11 Apr 18 - 00:17;11 Apr 18 - 00:18;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6854;VN-A690;VJ423;02-ENG START;11 Apr 18 - 10:49;11 Apr 18 - 10:50;231133;CFDS;NO HF 1 DATA;;No;CFR;;
;-6854;VN-A690;VJ423;06-CRUISE;11 Apr 18 - 11:25;11 Apr 18 - 11:25;3436;;NAV LS TUNING DISAGREE;;No;CFR;;
;-6853;VN-A690;VJ424;02-ENG START;11 Apr 18 - 12:56;11 Apr 18 - 13:09;237300;SDCU;OBRM/ CIDS(101RH)-SDF1/;;No;CFR;;
;-6853;VN-A690;VJ424;02-ENG START;11 Apr 18 - 12:56;11 Apr 18 - 13:09;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6850;VN-A690;VJ370;02-ENG START;11 Apr 18 - 23:50;11 Apr 18 - 23:51;324715;BSCU 2;BRK TEMP SENSOR2(7GW)/ BTMU(3GW);;No;CFR;;
;-6850;VN-A690;VJ370;02-ENG START;11 Apr 18 - 23:50;11 Apr 18 - 23:51;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6850;VN-A690;VJ370;02-ENG START;11 Apr 18 - 23:50;11 Apr 18 - 23:51;324715;BSCU 1;BRK TEMP SENSOR2(7GW)/ BTMU(3GW);;No;CFR;;
;-6849;VN-A690;VJ371;02-ENG START;12 Apr 18 - 01:44;12 Apr 18 - 01:52;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6847;VN-A690;VJ803;02-ENG START;12 Apr 18 - 04:28;12 Apr 18 - 04:29;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6847;VN-A690;VJ803;02-ENG START;12 Apr 18 - 04:28;12 Apr 18 - 04:29;324715;BSCU 1;BRK TEMP SENSOR2(7GW)/ BTMU(3GW);;No;CFR;;
;-6847;VN-A690;VJ803;02-ENG START;12 Apr 18 - 04:28;12 Apr 18 - 04:29;324715;BSCU 2;BRK TEMP SENSOR2(7GW)/ BTMU(3GW);;No;CFR;;
;-6845;VN-A690;VJ804;02-ENG START;12 Apr 18 - 06:51;12 Apr 18 - 07:13;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6844;VN-A690;VJ834;02-ENG START;12 Apr 18 - 10:36;12 Apr 18 - 10:37;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6840;VN-A690;VJ449;02-ENG START;13 Apr 18 - 00:19;13 Apr 18 - 00:21;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6835;VN-A690;VJ423;02-ENG START;13 Apr 18 - 10:43;13 Apr 18 - 10:44;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6832;VN-A690;VJ173;02-ENG START;13 Apr 18 - 14:56;13 Apr 18 - 14:58;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6832;VN-A690;VJ173;06-CRUISE;13 Apr 18 - 15:56;13 Apr 18 - 15:58;344333;CFDS;NO TCAS DATA;;No;CFR;;
;-6830;VN-A690;VJ491;02-ENG START;14 Apr 18 - 00:53;14 Apr 18 - 00:54;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6830;VN-A690;VJ491;06-CRUISE;14 Apr 18 - 01:44;14 Apr 18 - 01:45;344334;ATC 1;ATC 1:NO DATA FROM TCAS;;No;CFR;;
;-6823;VN-A690;VJ407;02-ENG START;14 Apr 18 - 09:19;14 Apr 18 - 09:20;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6817;VN-A690;VJ125;02-ENG START;14 Apr 18 - 23:37;14 Apr 18 - 23:38;231133;HF 1;CPLR1(4RE1);;No;CFR;;
